Player,Pk,Age at Draft,Height (in),MPG-NBA,AST-NBA,TOV-NBA,AST/TOV-NBA,AST%-NBA,TOV%-NBA,MPG-Col,AST-Col,TOV-Col,AST/TOV-Col,AST%-Col,TOV%-Col,SOS-Col
Jerryd Bayless,11,19.315,75,21.4,2.8,1.4,2.0,21.0,15.1,35.7,4.0,3.0,1.3,25.0,15.5,10.22
Evan Turner,2,21.245,79,27.9,3.5,1.8,1.9,19.4,15.0,32.8,4.1,3.5,1.2,31.4,21.1,7.86
Gerald Henderson,12,21.204,77,25.9,1.9,1.2,1.6,12.8,9.9,25.3,1.8,1.9,0.9,14.5,13.9,9.61
Cory Joseph,29,19.312,75,20.8,2.6,1.0,2.6,18.5,12.8,32.4,3.0,1.5,2.0,17.3,13.1,7.96
T.J. Ford,8,20.099,72,27.7,5.8,2.4,2.4,34.1,18.0,33.0,8.0,3.6,2.2,44.6,21.8,9.63
Wayne Ellington,28,21.245,76,21.0,1.1,0.7,1.6,8.0,8.2,28.5,2.2,1.5,1.5,12.6,10.7,8.59
Luther Head,24,22.22,75,22.4,2.1,1.3,1.6,15.9,14.3,25.4,2.5,1.5,1.7,18.7,15.5,8.06
Avery Bradley,19,19.215,74,28.4,1.7,1.5,1.1,10.0,10.8,29.5,2.1,1.5,1.4,12.4,11.5,7.38
Jordan Farmar,26,19.215,74,19.5,2.9,1.4,2.1,23.6,15.9,32.2,5.2,3.8,1.4,33.9,22.9,7.68
Gary Harris,19,19.29,76,28.4,2.1,1.3,1.6,11.3,10.8,31.0,2.0,1.6,1.3,13.5,11.0,9.96
Tim Hardaway,24,21.108,78,25.0,1.7,1.0,1.7,11.3,8.5,33.0,2.1,1.7,1.2,13.1,11.4,9.90
Greivis Vasquez,28,23.165,78,23.7,4.8,1.9,2.5,33.5,17.6,33.6,5.7,3.3,1.7,32.7,18.2,7.95
Toney Douglas,29,23.107,73,19.1,2.3,1.0,2.3,18.5,12.4,34.2,2.6,2.6,1.0,19.3,14.6,7.61
Elfrid Payton,10,20.129,75,29.5,6.4,2.4,2.7,33.9,17.8,31.6,4.9,3.4,1.4,32.0,20.1,-1.60
Brandon Knight,8,19.208,75,31.3,4.3,2.7,1.6,23.5,15.4,35.9,4.2,3.2,1.3,23.4,16.8,8.91
Alec Burks,12,19.343,78,21.0,1.6,1.3,1.2,13.1,12.3,30.9,2.4,2.3,1.0,17.0,12.6,6.65
Iman Shumpert,17,21.002,77,25.4,1.9,1.2,1.6,11.3,14.3,31.3,4.2,3.0,1.4,26.5,19.5,7.34
Marcus Smart,6,20.117,76,28.7,3.9,1.8,2.2,19.6,15.1,33.1,4.5,3.0,1.5,28.4,16.4,7.53
Shannon Brown,25,20.216,76,18.0,1.1,0.9,1.2,10.2,10.9,28.0,1.9,2.0,1.0,14.0,15.8,7.69
Trey Burke,9,20.232,72,24.4,3.8,1.4,2.7,26.2,11.2,35.7,5.7,2.5,2.3,33.2,14.0,9.51
Austin Rivers,10,19.336,76,24.3,2.4,1.2,2.0,15.2,11.7,33.2,2.1,2.3,0.9,13.0,13.9,8.40
Dion Waiters,4,20.206,76,28.7,2.8,1.9,1.5,16.1,12.1,20.4,1.5,1.1,1.4,19.7,11.1,8.40
Jamal Murray,7,19.125,77,26.6,2.7,1.7,1.6,15.4,12.7,35.2,2.2,2.3,1.0,12.1,12.1,8.84
Terry Rozier,16,21.105,73,18.9,2.1,0.8,2.6,16.6,9.3,26.8,1.5,1.4,1.1,18.6,10.5,6.89
Marcus Banks,13,21.224,74,16.0,2.1,1.3,1.6,21.2,18.1,34.3,4.3,3.6,1.2,26.1,18.8,4.77
Jerian Grant,19,22.264,77,18.7,3.0,1.0,3.0,24.2,13.9,36.4,5.8,2.2,2.6,31.9,14.7,6.88
Jordan Crawford,27,21.249,76,24.4,3.1,1.9,1.6,22.3,13.4,29.3,2.6,2.2,1.2,19.5,13.6,6.01
Devin Booker,13,18.242,78,32.2,3.5,2.9,1.2,18.4,13.5,21.5,1.1,1.0,1.1,10.9,10.4,8.67
