Player,MPG,AST,TOV,AST/TOV,AST%,TOV%,SOS
Eric Maynor,30.7,5.2,2.4,2.2,36.3,26.3,-0.76
Dejounte Murray,33.5,4.4,3.2,1.4,25.6,16.3,8.12
Denzel Valentine,29.0,4.4,2.2,2.0,29.5,18.0,9.21
Norris Cole,29.4,3.3,2.0,1.7,26.0,13.4,1.92
John Jenkins,30.6,1.1,1.3,0.8,8.2,9.2,7.59
Nik Stauskas,32.9,2.3,1.5,1.5,13.4,11.8,9.85
Luke Kennard,31.2,2.0,1.2,1.7,12.4,8.3,10.75
Jimmer Fredette,29.6,3.7,2.5,1.5,26.3,13.8,3.56
Lonzo Ball,35.1,7.6,2.5,3.0,31.4,18.6,6.39
Cameron Payne,32.4,5.7,2.9,2.0,37.1,14.5,-3.19
D'Angelo Russell,33.9,5.0,2.9,1.7,30.1,14.8,7.37
Acie Law,30.8,4.5,2.5,1.8,31.8,16.5,4.53
Tyler Ennis,35.7,5.5,1.7,3.2,32.3,11.9,7.25
Archie Goodwin,31.8,2.7,3.1,0.9,16.8,18.1,5.78
Kendall Marshall,28.8,8.0,2.6,3.1,43.2,28.5,8.61
Kris Dunn,31.5,5.8,3.3,1.8,40.3,21.6,8.09
Xavier Henry,27.5,1.5,1.9,0.8,9.8,14.4,8.25
Elliot Williams,24.9,2.2,1.9,1.2,18.5,16.4,6.36
Malik Beasley,29.8,1.5,1.7,0.9,9.8,11.5,8.16
Derrick White,32.8,4.4,2.4,1.8,28.6,14.2,6.00
Jordan Adams,30.2,2.1,1.4,1.5,13.1,8.9,7.72
Dominique Jones,36.5,3.5,2.6,1.3,26.5,13.2,7.32
R.J. Hunter,34.7,2.4,1.7,1.4,15.0,9.7,-2.33
Jared Cunningham,27.9,2.0,2.6,0.8,14.7,18.5,4.73
Markelle Fultz,35.7,5.9,3.2,1.8,35.5,13.4,6.82
Javaris Crittenton,31.3,5.8,3.9,1.5,32.3,22.9,9.36
J.R. Giddens,29.0,1.9,1.9,1.0,13.6,13.3,6.22
C.J. Wilcox,28.5,1.6,1.4,1.1,11.9,9.8,6.67
Julius Hodge,33.0,3.5,2.6,1.3,23.3,15.7,8.87
Quincy Douby,32.1,2.7,2.2,1.2,21.5,12.0,6.93
Marcus Williams,27.9,7.3,3.2,2.3,43.3,27.0,7.32
Morris Almond,27.1,1.0,2.2,0.5,10.4,14.7,2.25
Wade Baldwin,29.6,4.8,2.3,2.1,32.4,18.7,7.45
